id,tipo,produto_id,sku,endereco_origem,endereco_destino,quantidade,operador_id,tarefa_id,pedido_id,observacao,warehouse_id,created_at
im000001-0000-0000-0000-000000000001,entrada,bb000001-0000-0000-0000-000000000001,VPER-PNT-AL-22D-202X145-CT,,R1_PP2_A01,200,550e8400-e29b-41d4-a716-446655440003,,, Recebimento NF-001234,wh000001-0000-0000-0000-000000000001,2026-01-15T10:30:00Z
im000001-0000-0000-0000-000000000002,saida,bb000001-0000-0000-0000-000000000001,VPER-PNT-AL-22D-202X145-CT,R1_PP2_A01,,22,550e8400-e29b-41d4-a716-446655440002,,PED-001,Pedido SO-8849,wh000001-0000-0000-0000-000000000001,2026-02-20T14:20:00Z
im000001-0000-0000-0000-000000000003,entrada,bb000001-0000-0000-0000-000000000010,VPER-ROL-FAD-6205,,R1_PP1_A04,100,550e8400-e29b-41d4-a716-446655440003,,, Recebimento NF-007788,wh000001-0000-0000-0000-000000000001,2026-01-20T09:00:00Z
im000001-0000-0000-0000-000000000004,transferencia,bb000001-0000-0000-0000-000000000009,VPER-RET-NBR-125X3,R1_PP1_B01,R1_PP1_A02,500,550e8400-e29b-41d4-a716-446655440003,,,Reorganização de estoque,wh000001-0000-0000-0000-000000000001,2026-02-10T11:00:00Z
im000001-0000-0000-0000-000000000005,ajuste,bb000001-0000-0000-0000-000000000001,VPER-PNT-AL-22D-202X145-CT,R1_PP2_A01,,-2,550e8400-e29b-41d4-a716-446655440001,,,Ajuste inventário - divergência contagem,wh000001-0000-0000-0000-000000000001,2026-03-01T16:00:00Z
im000001-0000-0000-0000-000000000006,entrada,bb000001-0000-0000-0000-000000000008,VPER-MOT-TRI-3CV,,R2_PP3_B08,5,550e8400-e29b-41d4-a716-446655440003,,, Recebimento NF-009900,wh000001-0000-0000-0000-000000000001,2026-02-05T13:00:00Z
im000001-0000-0000-0000-000000000007,saida,bb000001-0000-0000-0000-000000000002,VEPEL-BTI-JX02-CCS,R1_PP1_C01,,10,550e8400-e29b-41d4-a716-446655440005,,PED-002,Pedido SO-8842,wh000001-0000-0000-0000-000000000001,2026-03-05T15:00:00Z
im000001-0000-0000-0000-000000000008,entrada,bb000001-0000-0000-0000-000000000007,VPER-COR-ART-38MM,,R3_PP1_A02,300,550e8400-e29b-41d4-a716-446655440003,,, Recebimento NF-005500,wh000001-0000-0000-0000-000000000001,2026-02-28T10:00:00Z
im000001-0000-0000-0000-000000000009,saida,bb000001-0000-0000-0000-000000000004,VPER-ESS-NY-27MM,R1_PP2_D12,,50,550e8400-e29b-41d4-a716-446655440002,,PED-003,Pedido SO-8845,wh000001-0000-0000-0000-000000000001,2026-03-10T09:30:00Z
im000001-0000-0000-0000-000000000010,bloqueio,bb000001-0000-0000-0000-000000000003,VEPEL-BPI-174FX,R2_PP1_A05,,5,550e8400-e29b-41d4-a716-446655440001,,,Bloqueio para inspeção de qualidade - lote suspeito,wh000001-0000-0000-0000-000000000001,2026-03-08T14:00:00Z
